Desc	Orthogroup	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
n/a	OG0000024	4	28	40	35	19	33	28	26	24
n/a	OG0000027	19	23	15	56	19	31	25	24	24
n/a	OG0000032	15	28	11	26	19	27	30	24	19
n/a	OG0000035	4	26	26	19	22	31	25	24	21
n/a	OG0000036	23	28	13	24	12	25	24	24	23
n/a	OG0000038	3	21	16	23	23	16	33	30	18
n/a	OG0000044	4	21	47	42	16	5	11	42	0
n/a	OG0000046	1	26	8	21	22	30	22	22	9
n/a	OG0000047	0	20	14	17	8	8	33	34	2
n/a	OG0000048	0	15	12	33	7	14	31	25	16
n/a	OG0000050	2	21	17	15	18	10	27	26	4
n/a	OG0000051	5	12	19	17	28	20	26	26	7
n/a	OG0000053	0	10	57	53	12	32	17	8	8
n/a	OG0000054	0	14	35	17	12	30	23	23	6
n/a	OG0000055	2	12	10	26	5	7	32	35	2
n/a	OG0000056	47	16	9	14	19	5	19	24	3
n/a	OG0000057	0	16	27	36	15	5	24	22	0
n/a	OG0000059	0	17	13	19	11	14	31	20	3
n/a	OG0000061	0	15	30	21	22	18	19	22	5
n/a	OG0000062	0	12	15	22	8	11	32	27	2
n/a	OG0000063	1	21	13	13	13	7	22	27	7
n/a	OG0000064	0	11	13	14	8	22	31	26	1
n/a	OG0000066	0	27	10	25	19	10	14	20	6
n/a	OG0000067	1	19	11	16	16	15	20	24	9
n/a	OG0000069	20	21	24	13	17	7	16	16	8
n/a	OG0000070	6	13	14	21	10	13	22	25	10
n/a	OG0000071	3	22	15	16	10	11	20	20	9
n/a	OG0000072	0	18	20	13	9	19	26	18	0
n/a	OG0000073	32	14	13	15	21	16	14	14	17
n/a	OG0000074	6	14	11	35	8	12	20	20	12
n/a	OG0000075	1	15	11	14	16	15	23	22	13
n/a	OG0000077	3	20	16	13	16	10	19	20	7
n/a	OG0000078	0	11	52	47	4	24	0	30	0
n/a	OG0000080	1	19	15	17	10	11	21	20	3
n/a	OG0000082	22	14	10	21	14	10	18	19	7
n/a	OG0000083	2	18	9	18	4	12	21	20	14
n/a	OG0000084	0	13	18	20	16	23	17	22	5
n/a	OG0000085	0	5	48	33	15	14	4	40	0
n/a	OG0000088	0	10	11	21	8	14	23	31	0
n/a	OG0000089	0	11	33	21	6	7	24	21	0
n/a	OG0000091	0	11	12	20	2	8	27	26	2
n/a	OG0000092	18	14	10	14	15	7	18	22	7
n/a	OG0000093	0	19	19	14	32	21	13	9	10
n/a	OG0000094	35	7	11	17	22	14	16	16	10
n/a	OG0000095	0	28	14	14	4	5	19	14	2
n/a	OG0000096	1	17	9	16	6	4	21	21	15
n/a	OG0000098	0	1	64	51	2	14	20	6	2
n/a	OG0000099	11	14	9	18	8	20	20	14	8
n/a	OG0000100	0	23	19	9	9	16	16	16	3
n/a	OG0000101	0	29	5	14	1	5	18	19	1
n/a	OG0000102	38	15	12	4	24	12	15	12	0
n/a	OG0000103	0	16	18	45	10	11	16	10	2
n/a	OG0000104	0	14	12	15	9	9	24	18	6
n/a	OG0000105	15	17	9	14	9	11	18	15	9
n/a	OG0000106	1	16	16	18	15	13	19	14	8
n/a	OG0000107	0	22	10	12	26	13	16	12	1
n/a	OG0000109	0	14	13	13	2	3	23	26	1
n/a	OG0000111	0	6	17	26	4	17	24	16	10
n/a	OG0000112	0	9	10	13	3	2	26	32	1
n/a	OG0000113	0	29	9	18	3	2	14	16	2
n/a	OG0000114	0	10	6	10	11	11	23	26	2
n/a	OG0000115	0	14	13	6	5	13	22	20	6
n/a	OG0000116	0	13	10	20	9	4	21	22	0
n/a	OG0000117	0	17	3	14	9	12	20	18	3
n/a	OG0000118	0	20	9	8	7	17	15	18	5
