FamilyID	Arabidopsis_thaliana<1>	Zea_mays<2>	Sorghum_bicolor<3>	Oryza_sativa<4>	Brachypodium_distachyon<5>	Avena_sativa<6>	Hordeum_vulgare<7>	Triticum_aestivum<8>	Triticum_turgidum<9>	<10>	<11>	<12>	<13>	<14>	<15>	<16>	<17>
OG0000024	0.426528	0.272914	0.000207676	0.0352628	1.2401e-05	0.680753	5.92675e-05	0.661102	0.0100196	N/A	1.0177e-08	0.123994	0.212321	0.00389406	0.764263	0.850528	0.398781
OG0000027	0.000147664	0.624726	0.000994777	0.732178	0.00131441	0.872722	1.6365e-33	0.648234	0.228813	N/A	3.08671e-06	0.0185985	0.742822	0.356099	0.0562011	0.00794442	0.0308847
OG0000032	0.00673586	0.224497	0.000469996	0.905946	2.04257e-06	0.0324559	0.791561	7.05578e-05	0.0087168	N/A	9.81003e-06	0.234984	0.736061	0.344299	0.000435039	0.100173	0.735763
OG0000035	0.900432	0.244725	1.6796e-05	0.91299	0.238531	0.185821	0.000820012	0.0908164	0.643756	N/A	3.56899e-09	0.53358	0.755339	0.128768	0.73948	0.553154	0.161704
OG0000036	4.12348e-06	0.858466	0.143727	0.0139526	0.00344993	0.00708962	0.781648	0.643756	0.643756	N/A	0.000119315	0.00284	0.721418	0.319079	1.7686e-05	0.325221	0.725218
OG0000038	0.88845	0.328843	0.547536	0.0878738	0.0205252	0.865802	0.454979	0.0021362	0.669231	N/A	5.91156e-08	0.678141	0.171771	0.344299	0.157044	0.0353546	2.36979e-06
OG0000044	0.666893	2.48524e-07	0.677962	0.896816	1.22494e-11	0.000322949	1.05233e-07	4.42799e-39	1.3673e-11	N/A	0.00145874	0.000820486	1.42081e-07	4.01089e-10	0.759707	0.0025364	0.766974
OG0000046	0.129298	2.76539e-08	2.12935e-09	0.0799003	4.10863e-08	0.00526605	0.764616	0.634501	0.634501	N/A	5.91156e-08	0.887907	0.728934	0.831477	0.0041676	0.818186	0.14894
OG0000050	0.324545	2.82638e-05	0.199999	0.0974709	0.64154	0.141654	0.000407459	0.0980592	0.652616	N/A	0.000132072	0.0407033	0.00245261	0.0311807	0.142686	0.806862	3.06239e-08
OG0000051	0.703171	9.65341e-09	0.00698429	6.63745e-05	0.440056	0.000210601	0.0354227	0.652616	0.652616	N/A	2.15768e-06	0.668835	0.163232	0.831477	0.701849	0.271988	3.06239e-08
OG0000055	0.614525	0.00071883	0.0312902	0.515014	0.819319	0.52786	0.791561	0.67702	0.00253577	N/A	0.0372873	0.455847	0.604175	0.000247855	0.000849734	1.49702e-13	3.63063e-06
OG0000056	1.17611e-16	0.0120803	0.677962	0.000945865	0.0254808	0.0949685	0.34673	0.619836	6.29701e-07	N/A	0.247628	0.00364798	0.00111642	0.785134	0.0223427	0.222484	0.000104783
OG0000063	0.25291	0.720859	0.720859	0.45701	0.594287	0.00204003	0.000267472	0.634501	1.2615e-06	N/A	0.000708165	0.181982	0.00111642	0.11262	0.0291145	0.248054	8.35728e-06
OG0000067	0.25291	0.00149421	0.0658811	0.225301	0.00925758	0.123143	0.37502	0.624832	2.63222e-05	N/A	3.78998e-06	0.865004	0.127673	0.276782	0.0326971	0.793653	0.00271165
OG0000069	6.17793e-05	0.738439	0.375438	0.240877	0.0014998	0.0682533	0.00273465	0.604164	0.604164	N/A	0.0602232	0.033902	0.000105767	0.0311807	0.701849	0.132682	0.673606
OG0000070	0.530024	0.449309	0.106276	0.638667	0.852653	0.544026	0.764616	0.634501	0.000918606	N/A	0.00308932	0.850922	0.666574	0.0156736	0.670561	1.28745e-06	0.14894
OG0000071	0.88845	0.427102	0.218761	0.638667	0.858596	0.015944	0.0322918	0.624832	0.624832	N/A	0.00145874	0.842099	0.0996103	0.00190509	0.00258103	0.800518	0.037013
OG0000074	0.530024	0.790581	0.790581	0.0576834	0.562794	0.828787	1.23333e-16	0.624832	0.624832	N/A	0.00308932	0.375167	0.666574	0.228494	0.0223427	1.50004e-05	0.70148
OG0000075	0.25291	0.504736	0.285974	0.225301	0.0356491	0.835826	0.0262964	0.083508	0.634501	N/A	9.84414e-07	0.870715	0.69627	0.803785	0.112886	0.235478	2.70506e-07
OG0000077	0.88845	0.00572155	0.767619	0.225301	0.863889	0.0616236	0.000267472	0.619836	0.0724294	N/A	0.00044565	0.589191	0.00193918	0.0689121	0.127962	0.793653	0.0336765
OG0000080	0.25291	5.51303e-07	0.0800996	0.638667	0.858596	0.123143	0.388141	0.0761371	0.624832	N/A	0.000197556	0.569705	0.0996103	0.00190509	0.0326971	0.260221	0.037013
OG0000082	1.03089e-05	0.00572155	0.767619	0.192045	0.195931	0.828787	0.00934836	0.614727	0.0687074	N/A	0.0602232	0.589191	0.109089	0.785134	0.0223427	0.00170585	0.688111
OG0000083	0.614525	0.119332	0.790581	0.000174602	0.0254808	0.113777	0.744463	0.0761371	0.624832	N/A	0.000197556	0.112516	0.655499	0.0875668	6.82251e-05	0.114109	0.037013
OG0000092	0.00057494	0.720859	0.720859	0.1154	0.195931	0.308496	0.711442	0.614727	1.76234e-05	N/A	0.102646	0.0275097	0.0232496	0.785134	0.0974764	0.209066	8.12125e-05
OG0000094	3.29653e-11	0.0582265	0.119332	1.06776e-05	0.562794	0.000247786	0.171559	0.604164	0.604164	N/A	0.0193588	0.858471	0.677035	0.785134	0.652625	0.0010198	0.673606
OG0000096	0.25291	8.1837e-07	0.00023711	0.211716	0.178504	0.104374	0.37502	0.62972	0.62972	N/A	0.00246539	0.819172	0.631338	0.00722574	4.93831e-05	0.104673	0.000165714
OG0000099	0.0350331	0.00738495	2.8699e-08	0.261358	0.178504	0.828787	0.180994	0.000445739	0.000147194	N/A	0.0431972	0.352799	0.655499	0.210964	0.00110881	0.0145208	0.681007
OG0000102	1.51313e-12	3.91423e-14	0.0931658	5.57718e-07	0.838279	0.0310811	2.36158e-11	0.000163677	0.581566	N/A	0.0602232	0.589191	0.109089	0.785134	0.652625	0.749277	0.640722
OG0000105	0.00191328	0.427102	0.218761	0.621116	0.178504	0.0426201	0.711442	0.000311913	0.598703	N/A	0.0431972	0.842099	0.655499	0.210964	0.00110881	0.769335	0.10197
OG0000106	0.25291	0.00112113	0.253895	0.492276	0.863889	0.842135	0.180994	0.0105977	0.000147194	N/A	1.43982e-05	0.858471	0.0317625	0.0689121	0.686916	0.248054	0.681007
OG0000121	0.00202015	0.00372692	0.800244	0.865502	0.0025286	6.30696e-12	2.56065e-15	0.00391994	0.569479	N/A	0.102646	0.0542261	0.655499	0.761912	0.632927	0.353893	0.06647
OG0000128	0.305208	0.000622573	0.808909	0.283622	0.544251	0.820893	0.000295084	0.587407	0.132972	N/A	0.0128199	0.0647126	0.666574	0.774177	0.0191815	0.759748	0.649467
OG0000129	0.88845	0.285974	0.285974	0.621116	0.160434	0.00049593	9.20714e-19	0.0612227	0.604164	N/A	0.00145874	0.0112743	0.655499	0.761912	0.0817574	0.737821	1.15237e-06
OG0000130	0.666893	0.00206668	0.720859	0.846402	0.141787	0.308496	0.00812644	0.0105977	0.167415	N/A	0.068077	0.804017	0.0705011	0.173683	2.33664e-05	0.00133442	0.681007
OG0000136	0.305208	0.218761	0.427102	0.865502	0.00349132	0.0949685	2.74778e-11	1.7692e-06	0.593119	N/A	0.0431972	0.842099	0.655499	0.210964	0.00110881	0.222484	0.256824
OG0000137	0.88845	0.800244	0.800244	0.654029	0.838279	1.46423e-13	0.751569	0.0761371	0.624832	N/A	0.000132072	0.395704	0.677035	0.785134	0.652625	5.66329e-07	0.135877
OG0000138	0.477231	2.31514e-09	0.00572155	0.0113892	1.53633e-42	0.000247786	3.0103e-23	0.065727	0.54359	N/A	0.00145874	0.842099	0.655499	0.0125145	0.250083	0.749277	8.13013e-09
OG0000142	0.530024	0.0800996	0.753927	0.00156111	0.82949	0.820893	0.720455	0.00841951	0.15053	N/A	0.0281865	0.831666	0.643769	0.0751202	0.0191815	0.0857692	0.665892
OG0000144	0.703171	0.504736	0.0046832	0.878931	0.000706052	0.811997	0.0156056	0.593119	0.593119	N/A	0.0013826	0.141988	0.677035	0.785134	0.652625	0.749277	0.0185171
