FamilyID	Arabidopsis_thaliana<1>	Zea_mays<2>	Sorghum_bicolor<3>	Oryza_sativa<4>	Brachypodium_distachyon<5>	Avena_sativa<6>	Hordeum_vulgare<7>	Triticum_aestivum<8>	Triticum_turgidum<9>	<10>	<11>	<12>	<13>	<14>	<15>	<16>	<17>
OG0000024	-2	-2	7	-5	11	-1	6	0	-2	0	17	3	1	5	0	0	-1
OG0000027	12	-1	6	-1	-6	0	29	0	-1	0	13	5	0	1	2	4	-2
OG0000032	8	-2	6	0	-9	4	0	4	-2	0	12	2	0	1	4	2	0
OG0000035	-1	-2	8	0	2	2	-4	1	0	0	17	1	0	2	0	-1	1
OG0000036	16	0	2	-5	-5	5	0	0	0	0	10	6	0	1	5	1	0
OG0000038	-1	1	-1	4	-4	0	-1	3	0	0	14	-1	1	1	1	3	6
OG0000044	0	-5	0	0	19	-7	9	-22	9	0	6	-5	6	12	0	5	0
OG0000046	-3	-9	12	4	-10	5	0	0	0	0	14	0	0	0	3	0	1
OG0000050	-2	-5	1	3	-1	2	-4	1	0	0	8	-3	3	3	1	0	7
OG0000051	0	-9	4	10	1	-6	-2	0	0	0	12	-1	1	0	0	1	7
OG0000055	-1	-3	2	-1	0	-1	0	0	3	0	3	-1	0	4	3	13	6
OG0000056	40	-2	0	7	-3	2	-1	0	5	0	2	-4	3	0	2	1	4
OG0000063	-2	0	0	1	-1	5	-4	0	5	0	6	-2	3	2	2	1	5
OG0000067	-2	-4	2	2	-4	2	-1	0	4	0	10	0	1	1	2	0	3
OG0000069	13	0	-1	2	6	3	-3	0	0	0	4	-3	4	3	0	-2	0
OG0000070	1	-1	2	-1	0	-1	0	0	3	0	6	0	0	3	0	7	1
OG0000071	-1	-1	1	-1	0	4	-2	0	0	0	6	0	1	4	3	0	2
OG0000073	25	1	0	6	-1	0	1	0	0	0	8	1	0	-1	0	0	0
OG0000074	1	0	0	-3	-1	0	15	0	0	0	6	1	0	1	2	6	0
OG0000075	-2	-1	1	2	-3	0	-2	1	0	0	11	0	0	0	1	1	6
OG0000077	-1	-3	0	2	0	3	-4	0	1	0	7	-1	3	2	1	0	2
OG0000080	-2	-6	2	-1	0	2	-1	1	0	0	7	-1	1	4	2	1	2
OG0000082	15	-3	0	2	-2	0	3	0	1	0	4	-1	1	0	2	4	0
OG0000083	-1	2	0	-6	-3	2	0	1	0	0	7	2	0	2	4	2	2
OG0000092	11	0	0	3	-2	1	0	0	4	0	3	-3	2	0	1	1	4
OG0000094	28	-2	2	10	-1	-5	1	0	0	0	5	0	0	0	0	4	0
OG0000096	-2	7	-4	-2	-2	2	-1	0	0	0	5	0	0	3	4	2	4
OG0000099	5	-3	9	-2	-2	0	1	3	-3	0	4	1	0	1	3	3	0
OG0000102	31	-10	2	12	0	3	-8	3	0	0	4	-1	1	0	0	0	0
OG0000105	9	-1	1	-1	-2	3	0	3	0	0	4	0	0	1	3	0	1
OG0000106	-2	-4	1	1	0	0	1	2	-3	0	9	0	2	2	0	1	0
OG0000121	9	4	0	0	-4	13	-9	2	0	0	3	3	0	0	0	-1	1
OG0000128	2	5	0	-2	-1	0	4	0	-1	0	5	3	0	0	2	0	0
OG0000129	-1	1	1	-1	-2	5	-11	1	0	0	6	4	0	0	1	0	5
OG0000130	0	-3	0	0	-2	1	3	2	-1	0	3	0	1	1	4	4	0
OG0000136	2	1	-1	0	-4	2	10	-4	0	0	4	0	0	1	3	1	-1
OG0000137	-1	0	0	-1	0	-11	0	1	0	0	8	1	0	0	0	7	1
OG0000138	1	10	-3	-4	46	-5	18	-1	0	0	6	0	0	3	-1	0	-6
OG0000142	1	2	0	-5	0	0	0	2	-1	0	4	0	0	2	2	2	0
OG0000144	0	-1	4	0	-5	0	-2	0	0	0	7	2	0	0	0	0	2
OG0000145	5	-9	7	-2	2	0	-3	0	0	0	3	0	0	4	0	0	2
OG0000146	-1	-3	0	2	0	0	-2	0	1	0	4	-2	2	2	0	1	10
OG0000147	-1	-1	0	18	-6	0	21	-17	2	0	5	-4	5	1	2	4	-1
OG0000148	5	0	0	1	-2	3	-2	5	0	0	3	0	0	1	1	0	1
OG0000149	-1	1	-2	-2	2	6	-3	4	0	0	1	0	0	10	0	0	1
OG0000150	-1	-1	0	1	-1	0	0	0	0	0	4	-2	2	2	1	3	6
OG0000152	2	0	2	-2	2	0	-11	2	0	0	6	1	0	0	0	-1	3
OG0000153	0	0	-2	-2	-1	1	9	-9	4	0	1	0	0	4	8	7	0
OG0000154	2	0	-1	1	-5	4	5	-1	0	0	2	-2	1	0	4	1	0
OG0000156	-2	-1	4	-3	2	-4	3	1	-3	0	7	0	0	2	0	4	0
OG0000159	11	-1	3	-2	-1	0	0	5	0	0	1	0	0	0	1	8	0
OG0000165	-1	0	0	5	1	13	-1	0	-3	0	4	-4	6	1	0	-4	0
OG0000166	1	0	2	-2	-1	0	0	1	0	0	6	0	0	1	1	1	0
OG0000168	-1	0	-2	-1	-1	5	5	-1	0	0	2	0	0	3	5	1	0
OG0000169	3	0	0	4	-5	1	0	3	-1	0	2	-3	1	0	3	1	0
OG0000170	-1	-2	2	-2	34	-3	78	-3	1	0	1	-1	0	5	0	2	-7
OG0000174	-2	-8	5	0	3	4	-5	0	1	0	7	-1	1	2	0	-2	0
OG0000177	-1	-4	0	0	-1	8	-6	3	0	0	3	0	1	1	3	0	4
OG0000178	4	-2	0	-4	2	0	48	-3	0	0	1	0	0	6	0	1	-7
OG0000182	-2	7	-2	-7	8	0	0	-1	0	0	5	0	0	5	0	0	-1
OG0000183	-2	-7	3	1	0	5	-1	1	-1	0	6	-1	1	2	0	-1	0
OG0000185	2	1	-1	4	-3	4	0	1	-1	0	4	0	0	0	0	0	0
OG0000192	-2	-1	0	0	-2	9	-4	0	0	0	5	0	0	0	2	0	1
OG0000196	22	-3	2	-6	0	2	-2	0	0	0	0	0	0	3	0	0	3
OG0000198	0	0	2	-1	0	-7	0	0	1	0	4	2	0	0	0	5	8
OG0000199	7	-3	0	2	-4	4	-2	3	0	0	2	-2	0	0	1	0	3
OG0000202	-1	-10	7	1	2	-3	28	0	-4	0	7	0	1	0	0	1	-5
OG0000206	0	40	-6	0	-1	-1	6	-6	2	0	4	5	0	0	0	3	0
OG0000207	0	0	0	0	-1	1	2	0	0	0	4	0	0	1	2	1	0
OG0000210	-1	0	0	-2	0	0	0	2	0	0	3	0	0	2	1	4	1
OG0000211	3	-3	0	-1	1	1	-3	0	1	0	2	-1	0	4	0	0	2
OG0000212	0	0	0	-1	6	-4	4	-4	5	0	0	-1	1	9	0	6	0
OG0000214	1	2	0	0	0	3	0	1	-3	0	5	0	0	0	0	0	0
OG0000215	10	-2	2	-2	-1	4	-9	0	0	0	2	0	0	1	0	0	3
OG0000216	-2	-1	3	-3	3	-1	3	0	-2	0	5	1	0	3	0	1	0
OG0000219	24	1	0	6	10	-9	0	0	-5	0	6	0	0	-1	-3	0	0
OG0000222	-2	-2	11	4	-2	-5	0	0	2	0	5	3	0	-1	0	2	5
OG0000223	-1	-1	7	-2	-2	2	2	0	-2	0	5	3	0	0	1	0	0
OG0000224	1	-1	0	-2	0	2	39	0	-3	0	0	-2	0	9	2	0	-9
OG0000228	11	-5	4	-3	2	-2	0	3	-3	0	2	0	0	1	0	2	0
OG0000229	29	-2	3	-2	-1	1	-5	0	0	0	-1	0	0	0	1	0	9
OG0000231	-1	-2	3	-3	0	0	6	1	-2	0	2	0	0	4	1	3	0
OG0000234	2	0	-1	0	1	0	0	0	0	0	2	-2	0	2	0	2	5
OG0000235	-1	1	0	0	-1	2	0	1	-1	0	5	0	0	1	3	0	0
OG0000237	0	-2	0	-2	0	3	-9	0	3	0	1	0	0	7	0	0	7
OG0000238	-1	-1	0	4	0	-5	0	2	0	0	4	-1	2	0	0	5	0
OG0000243	-2	-7	1	8	10	-10	22	-11	0	0	8	-1	3	1	-1	1	-4
OG0000245	6	-2	3	-2	0	3	0	1	-1	0	2	0	0	1	0	-1	0
OG0000247	16	0	0	-1	0	1	-2	0	0	0	0	-3	0	2	1	0	7
OG0000248	3	1	-1	-1	-1	0	0	1	0	0	1	1	0	1	1	2	2
OG0000253	3	0	0	0	-1	1	0	4	0	0	0	-1	0	2	2	1	3
OG0000254	2	-4	1	5	1	0	-2	0	4	0	3	-1	0	0	0	0	2
OG0000255	-2	0	1	1	3	-10	0	4	-1	0	9	3	0	-1	-1	0	0
OG0000257	1	-2	6	0	0	0	0	1	0	0	3	0	0	0	0	4	0
OG0000258	-1	-1	2	-3	0	4	0	0	-2	0	4	1	0	2	2	0	0
OG0000259	-1	0	0	-4	0	5	-1	2	0	0	3	1	0	2	2	0	1
OG0000260	0	0	0	-1	-1	1	72	0	-5	0	0	-1	0	0	6	3	-4
OG0000263	0	2	0	-4	-1	3	1	0	-5	0	2	0	0	3	2	0	0
OG0000265	-1	-1	1	0	-1	0	0	2	0	0	3	0	0	0	2	1	6
OG0000269	-1	0	-1	-1	0	8	-7	3	0	0	3	0	0	2	1	0	1
OG0000270	0	-1	3	3	-1	-1	1	1	-2	0	5	1	0	0	0	0	0
OG0000272	-1	0	1	-1	0	-2	2	1	0	0	4	0	0	0	0	5	0
OG0000273	9	0	4	0	0	3	0	1	0	0	1	2	0	0	0	-1	0
OG0000274	1	-1	5	-1	1	-2	1	0	-1	0	3	0	0	1	0	3	0
OG0000275	-1	-1	7	-3	-1	1	0	-1	1	0	5	3	0	0	1	0	0
OG0000278	6	-1	0	0	2	3	0	1	0	0	1	-3	0	3	0	-1	0
OG0000284	0	-1	1	-1	-1	5	0	3	0	0	1	0	0	3	4	0	1
OG0000286	-1	-2	0	0	0	0	0	0	2	0	1	-1	1	3	0	3	4
OG0000287	1	-2	6	5	-4	0	0	3	0	0	3	1	0	-1	0	0	4
OG0000288	7	-4	2	-1	1	0	-1	2	0	0	1	0	0	1	0	0	3
OG0000289	-1	-2	2	-1	-1	2	0	5	-1	0	2	0	0	2	2	0	0
OG0000291	8	-1	9	0	-1	3	-2	2	-1	0	1	3	0	0	0	-2	0
OG0000292	-2	-2	6	1	0	-1	-8	0	0	0	5	0	0	0	0	0	4
OG0000293	-2	0	0	-2	0	-2	0	-1	0	0	6	2	0	0	0	1	0
OG0000295	-1	-1	2	-4	1	0	0	1	0	0	2	0	0	3	0	3	0
OG0000298	1	4	-3	-2	0	0	3	0	-1	0	1	0	0	1	2	3	0
OG0000299	8	-2	0	-1	-1	0	3	-2	1	0	1	-1	0	2	2	1	0
OG0000300	9	0	1	-2	0	1	-6	2	0	0	0	0	0	1	0	0	5
OG0000301	1	-2	1	-2	0	4	-4	1	0	0	1	0	0	4	0	0	2
OG0000302	0	0	0	0	0	0	8	0	-2	0	1	-1	0	3	2	4	0
OG0000303	0	4	0	-1	0	0	0	1	0	0	2	2	0	0	0	4	6
OG0000307	-1	-4	1	3	0	-8	2	2	-2	0	5	0	1	0	0	5	0
OG0000308	0	0	-1	0	-1	0	0	5	0	0	1	-1	0	1	2	3	0
OG0000313	0	1	-1	-2	0	0	2	0	-1	0	3	0	0	1	1	0	0
OG0000314	1	-3	0	0	0	2	0	0	2	0	2	0	0	1	1	0	0
OG0000316	-1	-2	4	-3	0	0	0	-2	0	0	3	0	0	5	0	0	0
OG0000317	2	29	-6	-1	0	-1	10	-1	0	0	1	2	0	0	0	2	0
OG0000321	-1	-1	7	-3	0	0	0	-1	1	0	3	2	0	1	0	2	0
OG0000322	0	0	-1	-1	-1	2	0	3	0	0	1	0	0	1	4	1	1
OG0000323	2	-2	3	0	1	1	-4	0	0	0	2	1	0	1	0	0	0
OG0000324	2	-1	3	0	-1	0	5	-2	1	0	1	0	0	0	1	5	0
OG0000328	-1	0	0	-3	4	-1	0	0	0	0	3	0	0	2	0	1	1
OG0000329	0	0	0	0	-1	0	0	2	0	0	1	-2	1	2	2	1	3
OG0000330	2	0	0	0	0	0	2	1	-2	0	2	-2	0	0	1	1	0
