FamilyID	Arabidopsis_thaliana<1>	Zea_mays<2>	Sorghum_bicolor<3>	Oryza_sativa<4>	Brachypodium_distachyon<5>	Avena_sativa<6>	Hordeum_vulgare<7>	Triticum_aestivum<8>	Triticum_turgidum<9>	<10>	<11>	<12>	<13>	<14>	<15>	<16>	<17>
OG0000024	4	24	33	19	40	28	35	28	26	6	23	26	24	29	29	29	28
OG0000027	19	24	31	19	15	23	56	25	24	7	20	25	20	21	23	27	25
OG0000032	15	19	27	19	11	28	26	30	24	7	19	21	19	20	24	26	26
OG0000035	4	21	31	22	26	26	19	25	24	5	22	23	22	24	24	23	24
OG0000036	23	23	25	12	13	28	24	24	24	7	17	23	17	18	23	24	24
OG0000038	3	18	16	23	16	21	23	33	30	4	18	17	19	20	21	24	30
OG0000044	4	0	5	16	47	21	42	11	42	4	10	5	16	28	28	33	33
OG0000046	1	9	30	22	8	26	21	22	22	4	18	18	18	18	21	21	22
OG0000050	2	4	10	18	17	21	15	27	26	4	12	9	15	18	19	19	26
OG0000051	5	7	20	28	19	12	17	26	26	5	17	16	18	18	18	19	26
OG0000055	2	2	7	5	10	12	26	32	35	3	6	5	6	10	13	26	32
OG0000056	47	3	5	19	9	16	14	19	24	7	9	5	12	12	14	15	19
OG0000063	1	7	7	13	13	21	13	22	27	3	9	7	12	14	16	17	22
OG0000067	1	9	15	16	11	19	16	20	24	3	13	13	14	15	17	17	20
OG0000069	20	8	7	17	24	21	13	16	16	7	11	8	15	18	18	16	16
OG0000070	6	10	13	10	14	13	21	22	25	5	11	11	11	14	14	21	22
OG0000071	3	9	11	10	15	22	16	20	20	4	10	10	11	15	18	18	20
OG0000073	32	17	16	21	13	14	15	14	14	7	15	16	15	14	14	14	14
OG0000074	6	12	12	8	11	14	35	20	20	5	11	12	11	12	14	20	20
OG0000075	1	13	15	16	11	15	14	23	22	3	14	14	14	14	15	16	22
OG0000077	3	7	10	16	16	20	13	19	20	4	11	10	14	16	17	17	19
OG0000080	1	3	11	10	15	19	17	21	20	3	10	9	11	15	17	18	20
OG0000082	22	7	10	14	10	14	21	18	19	7	11	10	12	12	14	18	18
OG0000083	2	14	12	4	9	18	18	21	20	3	10	12	10	12	16	18	20
OG0000092	18	7	7	15	10	14	14	18	22	7	10	7	12	12	13	14	18
OG0000094	35	10	14	22	11	7	17	16	16	7	12	12	12	12	12	16	16
OG0000096	1	15	4	6	9	17	16	21	21	3	8	8	8	11	15	17	21
OG0000099	11	8	20	8	9	14	18	20	14	6	10	11	10	11	14	17	17
OG0000102	38	0	12	24	12	15	4	15	12	7	11	10	12	12	12	12	12
