#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000024	0.0751699	1.2697e-86	4.38003e-24	2.89885e-63	N/S
OG0000024	0.612281	4.46108e-42	4.38003e-24	1.0185e-18	N/S
OG0000024	2.31255	4.38003e-24	4.38003e-24	1	*
OG0000027	0.0751699	5.02754e-131	1.4568e-43	3.45107e-88	N/S
OG0000027	0.612281	3.4314e-72	1.4568e-43	2.35543e-29	N/S
OG0000027	2.31255	1.4568e-43	1.4568e-43	1	*
OG0000032	0.0751699	3.60479e-76	7.90168e-26	4.56206e-51	N/S
OG0000032	0.612281	2.75588e-41	7.90168e-26	3.48772e-16	N/S
OG0000032	2.31255	7.90168e-26	7.90168e-26	1	*
OG0000035	0.0751699	9.16242e-59	1.23582e-19	7.41402e-40	N/S
OG0000035	0.612281	1.36564e-30	1.23582e-19	1.10505e-11	N/S
OG0000035	2.31255	1.23582e-19	1.23582e-19	1	*
OG0000036	0.0751699	1.71747e-72	1.46902e-22	1.16912e-50	N/S
OG0000036	0.612281	4.88406e-36	1.46902e-22	3.32471e-14	N/S
OG0000036	2.31255	1.46902e-22	1.46902e-22	1	*
OG0000038	0.0751699	4.73785e-60	4.03462e-20	1.1743e-40	N/S
OG0000038	0.612281	1.19281e-31	4.03462e-20	2.95643e-12	N/S
OG0000038	2.31255	4.03462e-20	4.03462e-20	1	*
OG0000044	0.0751699	1.19984e-203	1.47578e-72	8.1302e-132	N/S
OG0000044	0.612281	7.4608e-119	1.47578e-72	5.05549e-47	N/S
OG0000044	2.31255	1.47578e-72	1.47578e-72	1	*
OG0000046	0.0751699	5.74297e-97	1.28634e-28	4.46458e-69	N/S
OG0000046	0.612281	1.9081e-50	1.28634e-28	1.48335e-22	N/S
OG0000046	2.31255	1.28634e-28	1.28634e-28	1	*
OG0000050	0.0751699	4.40802e-67	1.02527e-22	4.29939e-45	N/S
OG0000050	0.612281	5.63318e-37	1.02527e-22	5.49437e-15	N/S
OG0000050	2.31255	1.02527e-22	1.02527e-22	1	*
OG0000051	0.0751699	3.03332e-84	1.56303e-26	1.94067e-58	N/S
OG0000051	0.612281	5.34973e-45	1.56303e-26	3.42267e-19	N/S
OG0000051	2.31255	1.56303e-26	1.56303e-26	1	*
OG0000055	0.0751699	1.08501e-73	1.60751e-26	6.74966e-48	N/S
OG0000055	0.612281	5.43661e-43	1.60751e-26	3.38201e-17	N/S
OG0000055	2.31255	1.60751e-26	1.60751e-26	1	*
OG0000056	0.0751699	2.40131e-110	9.93111e-32	2.41796e-79	N/S
OG0000056	0.612281	6.94911e-56	9.93111e-32	6.99732e-25	N/S
OG0000056	2.31255	9.93111e-32	9.93111e-32	1	*
OG0000063	0.0751699	4.35909e-63	5.43883e-22	8.01476e-42	N/S
OG0000063	0.612281	2.51069e-35	5.43883e-22	4.61623e-14	N/S
OG0000063	2.31255	5.43883e-22	5.43883e-22	1	*
OG0000067	0.0751699	1.3991e-56	7.52254e-19	1.85988e-38	N/S
OG0000067	0.612281	2.38012e-30	7.52254e-19	3.16398e-12	N/S
OG0000067	2.31255	7.52254e-19	7.52254e-19	1	*
OG0000069	0.0751699	2.21257e-58	7.8714e-20	2.8109e-39	N/S
OG0000069	0.612281	5.68925e-31	7.8714e-20	7.22775e-12	N/S
OG0000069	2.31255	7.8714e-20	7.8714e-20	1	*
OG0000070	0.0751699	1.56667e-40	6.9087e-17	2.26768e-24	N/S
OG0000070	0.612281	4.26412e-24	6.9087e-17	6.1721e-08	N/S
OG0000070	2.31255	6.9087e-17	6.9087e-17	1	*
OG0000071	0.0751699	1.30969e-39	4.67404e-15	2.80205e-25	N/S
OG0000071	0.612281	6.87692e-22	4.67404e-15	1.4713e-07	N/S
OG0000071	2.31255	4.67404e-15	4.67404e-15	1	*
OG0000073	0.0751699	3.68968e-54	4.71417e-19	7.82678e-36	N/S
OG0000073	0.612281	2.74806e-27	4.71417e-19	5.82937e-09	N/S
OG0000073	2.31255	4.71417e-19	4.71417e-19	1	*
OG0000074	0.0751699	5.84497e-63	2.05773e-24	2.8405e-39	N/S
OG0000074	0.612281	2.38815e-37	2.05773e-24	1.16058e-13	N/S
OG0000074	2.31255	2.05773e-24	2.05773e-24	1	*
OG0000075	0.0751699	2.74914e-47	2.33136e-17	1.1792e-30	N/S
OG0000075	0.612281	2.68857e-26	2.33136e-17	1.15322e-09	N/S
OG0000075	2.31255	2.33136e-17	2.33136e-17	1	*
OG0000077	0.0751699	5.79897e-45	1.1466e-16	5.05752e-29	N/S
OG0000077	0.612281	5.91991e-25	1.1466e-16	5.16299e-09	N/S
OG0000077	2.31255	1.1466e-16	1.1466e-16	1	*
OG0000080	0.0751699	1.11621e-49	7.88243e-18	1.41608e-32	N/S
OG0000080	0.612281	9.25098e-28	7.88243e-18	1.17362e-10	N/S
OG0000080	2.31255	7.88243e-18	7.88243e-18	1	*
OG0000082	0.0751699	2.18733e-50	1.12255e-18	1.94853e-32	N/S
OG0000082	0.612281	6.68968e-28	1.12255e-18	5.95935e-10	N/S
OG0000082	2.31255	1.12255e-18	1.12255e-18	1	*
OG0000083	0.0751699	2.33022e-50	3.41146e-17	6.83057e-34	N/S
OG0000083	0.612281	2.60657e-27	3.41146e-17	7.64063e-11	N/S
OG0000083	2.31255	3.41146e-17	3.41146e-17	1	*
OG0000092	0.0751699	3.45793e-50	1.05566e-19	3.2756e-31	N/S
OG0000092	0.612281	3.89203e-29	1.05566e-19	3.68681e-10	N/S
OG0000092	2.31255	1.05566e-19	1.05566e-19	1	*
OG0000094	0.0751699	5.26247e-78	1.07604e-23	4.89057e-55	N/S
