FamilyID	pvalue	Significant at 0.05
OG0000024	0	y
OG0000027	0	y
OG0000032	0	y
OG0000035	0	y
OG0000036	0	y
OG0000038	0	y
OG0000044	0	y
OG0000046	0	y
OG0000050	0	y
OG0000051	0	y
OG0000055	0	y
OG0000056	0	y
OG0000063	0	y
OG0000067	0	y
OG0000069	0	y
OG0000070	0	y
OG0000071	0	y
OG0000073	0.204	n
OG0000074	0	y
OG0000075	0	y
OG0000077	0	y
OG0000080	0	y
OG0000082	0	y
OG0000083	0	y
OG0000092	0	y
OG0000094	0	y
OG0000096	0	y
OG0000099	0	y
OG0000102	0	y
OG0000105	0.001	y
OG0000106	0	y
OG0000121	0	y
OG0000128	0.001	y
OG0000129	0	y
OG0000130	0	y
OG0000136	0	y
OG0000137	0	y
OG0000138	0	y
OG0000142	0.001	y
OG0000144	0.001	y
OG0000145	0	y
OG0000146	0	y
OG0000147	0	y
OG0000148	0	y
OG0000149	0	y
OG0000150	0	y
OG0000152	0	y
OG0000153	0	y
OG0000154	0	y
OG0000156	0	y
OG0000159	0	y
OG0000165	0	y
OG0000166	0.086	n
OG0000168	0	y
OG0000169	0	y
OG0000170	0	y
OG0000174	0	y
OG0000177	0	y
OG0000178	0	y
OG0000182	0	y
OG0000183	0	y
OG0000185	0.002	y
OG0000192	0	y
OG0000196	0	y
OG0000198	0	y
OG0000199	0	y
OG0000202	0	y
OG0000206	0	y
OG0000207	0.041	y
OG0000210	0	y
OG0000211	0	y
OG0000212	0	y
OG0000214	0.002	y
OG0000215	0	y
OG0000216	0	y
OG0000219	0	y
OG0000222	0	y
OG0000223	0	y
OG0000224	0	y
OG0000228	0	y
OG0000229	0	y
OG0000231	0	y
OG0000234	0.001	y
OG0000235	0.001	y
OG0000237	0	y
OG0000238	0	y
OG0000243	0	y
OG0000245	0.002	y
OG0000247	0	y
OG0000248	0.008	y
OG0000253	0	y
OG0000254	0	y
OG0000255	0	y
OG0000257	0.001	y
OG0000258	0	y
OG0000259	0	y
OG0000260	0	y
OG0000263	0	y
